Tickers,ROE>5,Increasing Revenue,Positive OCF,Increasing EPS,Quality of Earnings,Long Term Debt vs Asset,Increasing Net Income,Market Cap > Median,Increasing Asset Turnover
1728 HK Equity,1,1,1,1,1,1,1,1,1,1
1999 HK Equity,1,1,1,1,1,1,1,1,1,1
1929 HK Equity,1,1,1,1,1,1,1,1,1,1
2331 HK Equity,1,1,1,1,1,1,1,1,1,1
1114 HK Equity,1,1,1,1,1,1,1,1,1,1
3813 HK Equity,1,1,1,1,1,1,1,1,1,1
136 HK Equity,1,1,1,1,1,1,1,1,1,1
1211 HK Equity,1,1,1,1,1,1,1,1,1,1
3818 HK Equity,1,1,1,1,1,1,1,1,1,1
1828 HK Equity,1,1,1,1,1,1,1,1,1,1
494 HK Equity,1,1,1,1,1,1,1,1,1,1
1086 HK Equity,1,1,1,1,1,1,1,1,1,1
860 HK Equity,1,1,1,1,1,1,1,1,1,1
819 HK Equity,1,1,1,1,1,1,1,1,1,1
78 HK Equity,1,1,1,1,1,1,1,1,1,1
2282 HK Equity,1,1,1,1,1,1,1,1,1,1
1212 HK Equity,1,1,1,1,1,1,1,1,1,1
1269 HK Equity,1,1,1,1,1,1,1,1,1,1
547 HK Equity,1,1,1,1,1,1,1,1,1,1
175 HK Equity,1,1,1,1,1,1,1,1,1,1
256 HK Equity,1,1,1,1,1,1,1,1,1,1
489 HK Equity,1,1,1,1,1,1,1,1,1,1
1293 HK Equity,1,1,1,1,1,1,1,1,1,1
848 HK Equity,1,1,1,1,1,1,1,1,1,1
669 HK Equity,1,1,1,1,1,1,1,1,1,1
1382 HK Equity,1,1,1,1,1,1,1,1,1,1
1060 HK Equity,1,1,1,1,1,1,1,1,1,1
521 HK Equity,1,1,1,1,1,1,1,1,1,1
1128 HK Equity,1,1,1,1,1,1,1,1,1,1
1028 HK Equity,1,1,1,1,1,1,1,1,1,1
538 HK Equity,1,1,1,1,1,1,1,1,1,1
1368 HK Equity,1,1,1,1,1,1,1,1,1,1
178 HK Equity,1,1,1,1,1,1,1,1,1,1
2238 HK Equity,1,1,1,1,1,1,1,1,1,1
27 HK Equity,1,1,1,1,1,1,1,1,1,1
200 HK Equity,1,1,1,1,1,1,1,1,1,1
1361 HK Equity,1,1,1,1,1,1,1,1,1,1
52 HK Equity,1,1,1,1,1,1,1,1,1,1
425 HK Equity,1,1,1,1,1,1,1,1,1,1
881 HK Equity,1,1,1,1,1,1,1,1,1,1
951 HK Equity,1,1,1,1,1,1,1,1,1,1
3389 HK Equity,1,1,1,1,1,1,1,1,1,1
308 HK Equity,1,1,1,1,1,1,1,1,1,1
590 HK Equity,1,1,1,1,1,1,1,1,1,1
330 HK Equity,1,1,1,1,1,1,1,1,1,1
868 HK Equity,1,1,1,1,1,1,1,1,1,1
1234 HK Equity,1,1,1,1,1,1,1,1,1,1
2020 HK Equity,1,1,1,1,1,1,1,1,1,1
551 HK Equity,1,1,1,1,1,1,1,1,1,1
341 HK Equity,1,1,1,1,1,1,1,1,1,1
493 HK Equity,1,1,1,1,1,1,1,1,1,1
1928 HK Equity,1,1,1,1,1,1,1,1,1,1
1070 HK Equity,1,1,1,1,1,1,1,1,1,1
1169 HK Equity,1,1,1,1,1,1,1,1,1,1
419 HK Equity,1,1,1,1,1,1,1,1,1,1
2313 HK Equity,1,1,1,1,1,1,1,1,1,1
751 HK Equity,1,1,1,1,1,1,1,1,1,1
2006 HK Equity,1,1,1,1,1,1,1,1,1,1
880 HK Equity,1,1,1,1,1,1,1,1,1,1
511 HK Equity,1,1,1,1,1,1,1,1,1,1
321 HK Equity,1,1,1,1,1,1,1,1,1,1
2678 HK Equity,1,1,1,1,1,1,1,1,1,1
2001 HK Equity,1,1,1,1,1,1,1,1,1,1
2232 HK Equity,1,1,1,1,1,1,1,1,1,1
772 HK Equity,1,1,1,1,1,1,1,1,1,1
839 HK Equity,1,1,1,1,1,1,1,1,1,1
3998 HK Equity,1,1,1,1,1,1,1,1,1,1
709 HK Equity,1,1,1,1,1,1,1,1,1,1
6068 HK Equity,1,1,1,1,1,1,1,1,1,1
6169 HK Equity,1,1,1,1,1,1,1,1,1,1
1569 HK Equity,1,1,1,1,1,1,1,1,1,1
45 HK Equity,1,1,1,1,1,1,1,1,1,1
1970 HK Equity,1,1,1,1,1,1,1,1,1,1
2199 HK Equity,1,1,1,1,1,1,1,1,1,1
1585 HK Equity,1,1,1,1,1,1,1,1,1,1
198 HK Equity,1,1,1,1,1,1,1,1,1,1
680 HK Equity,1,1,1,1,1,1,1,1,1,1
3836 HK Equity,1,1,1,1,1,1,1,1,1,1
1680 HK Equity,1,1,1,1,1,1,1,1,1,1
1316 HK Equity,1,1,1,1,1,1,1,1,1,1
2333 HK Equity,1,1,1,1,1,1,1,1,1,1
1899 HK Equity,1,1,1,1,1,1,1,1,1,1
1317 HK Equity,1,1,1,1,1,1,1,1,1,1
1478 HK Equity,1,1,1,1,1,1,1,1,1,1
1958 HK Equity,1,1,1,1,1,1,1,1,1,1
3606 HK Equity,1,1,1,1,1,1,1,1,1,1
69 HK Equity,1,1,1,1,1,1,1,1,1,1
1448 HK Equity,1,1,1,1,1,1,1,1,1,1
2255 HK Equity,1,1,1,1,1,1,1,1,1,1
2111 HK Equity,1,1,1,1,1,1,1,1,1,1
787 HK Equity,1,1,1,1,1,1,1,1,1,1
2298 HK Equity,1,1,1,1,1,1,1,1,1,1
400 HK Equity,1,1,1,1,1,1,1,1,1,1
1230 HK Equity,1,1,1,1,1,1,1,1,1,1
2222 HK Equity,1,1,1,1,1,1,1,1,1,1
151 HK Equity,1,1,1,1,1,1,1,1,1,1
6808 HK Equity,1,1,1,1,1,1,1,1,1,1
606 HK Equity,1,1,1,1,1,1,1,1,1,1
1117 HK Equity,1,1,1,1,1,1,1,1,1,1
1115 HK Equity,1,1,1,1,1,1,1,1,1,1
1112 HK Equity,1,1,1,1,1,1,1,1,1,1
1886 HK Equity,1,1,1,1,1,1,1,1,1,1
506 HK Equity,1,1,1,1,1,1,1,1,1,1
43 HK Equity,1,1,1,1,1,1,1,1,1,1
220 HK Equity,1,1,1,1,1,1,1,1,1,1
2319 HK Equity,1,1,1,1,1,1,1,1,1,1
1044 HK Equity,1,1,1,1,1,1,1,1,1,1
168 HK Equity,1,1,1,1,1,1,1,1,1,1
345 HK Equity,1,1,1,1,1,1,1,1,1,1
291 HK Equity,1,1,1,1,1,1,1,1,1,1
1579 HK Equity,1,1,1,1,1,1,1,1,1,1
1610 HK Equity,1,1,1,1,1,1,1,1,1,1
1458 HK Equity,1,1,1,1,1,1,1,1,1,1
322 HK Equity,1,1,1,1,1,1,1,1,1,1
3799 HK Equity,1,1,1,1,1,1,1,1,1,1
1219 HK Equity,1,1,1,1,1,1,1,1,1,1
288 HK Equity,1,1,1,1,1,1,1,1,1,1
1432 HK Equity,1,1,1,1,1,1,1,1,1,1
342 HK Equity,1,1,1,1,1,1,1,1,1,1
934 HK Equity,1,1,1,1,1,1,1,1,1,1
386 HK Equity,1,1,1,1,1,1,1,1,1,1
467 HK Equity,1,1,1,1,1,1,1,1,1,1
857 HK Equity,1,1,1,1,1,1,1,1,1,1
2883 HK Equity,1,1,1,1,1,1,1,1,1,1
1898 HK Equity,1,1,1,1,1,1,1,1,1,1
883 HK Equity,1,1,1,1,1,1,1,1,1,1
1088 HK Equity,1,1,1,1,1,1,1,1,1,1
1171 HK Equity,1,1,1,1,1,1,1,1,1,1
135 HK Equity,1,1,1,1,1,1,1,1,1,1
3908 HK Equity,1,1,1,1,1,1,1,1,1,1
6881 HK Equity,1,1,1,1,1,1,1,1,1,1
3968 HK Equity,1,1,1,1,1,1,1,1,1,1
1428 HK Equity,1,1,1,1,1,1,1,1,1,1
806 HK Equity,1,1,1,1,1,1,1,1,1,1
5 HK Equity,1,1,1,1,1,1,1,1,1,1
2628 HK Equity,1,1,1,1,1,1,1,1,1,1
3360 HK Equity,1,1,1,1,1,1,1,1,1,1
966 HK Equity,1,1,1,1,1,1,1,1,1,1
2356 HK Equity,1,1,1,1,1,1,1,1,1,1
1140 HK Equity,1,1,1,1,1,1,1,1,1,1
23 HK Equity,1,1,1,1,1,1,1,1,1,1
3328 HK Equity,1,1,1,1,1,1,1,1,1,1
998 HK Equity,1,1,1,1,1,1,1,1,1,1
2328 HK Equity,1,1,1,1,1,1,1,1,1,1
1141 HK Equity,1,1,1,1,1,1,1,1,1,1
2318 HK Equity,1,1,1,1,1,1,1,1,1,1
279 HK Equity,1,1,1,1,1,1,1,1,1,1
1299 HK Equity,1,1,1,1,1,1,1,1,1,1
6030 HK Equity,1,1,1,1,1,1,1,1,1,1
3618 HK Equity,1,1,1,1,1,1,1,1,1,1
142 HK Equity,1,1,1,1,1,1,1,1,1,1
3988 HK Equity,1,1,1,1,1,1,1,1,1,1
1288 HK Equity,1,1,1,1,1,1,1,1,1,1
508 HK Equity,1,1,1,1,1,1,1,1,1,1
86 HK Equity,1,1,1,1,1,1,1,1,1,1
6818 HK Equity,1,1,1,1,1,1,1,1,1,1
1398 HK Equity,1,1,1,1,1,1,1,1,1,1
6837 HK Equity,1,1,1,1,1,1,1,1,1,1
2388 HK Equity,1,1,1,1,1,1,1,1,1,1
1788 HK Equity,1,1,1,1,1,1,1,1,1,1
1988 HK Equity,1,1,1,1,1,1,1,1,1,1
721 HK Equity,1,1,1,1,1,1,1,1,1,1
1963 HK Equity,1,1,1,1,1,1,1,1,1,1
939 HK Equity,1,1,1,1,1,1,1,1,1,1
2611 HK Equity,1,1,1,1,1,1,1,1,1,1
3329 HK Equity,1,1,1,1,1,1,1,1,1,1
6060 HK Equity,1,1,1,1,1,1,1,1,1,1
2858 HK Equity,1,1,1,1,1,1,1,1,1,1
165 HK Equity,1,1,1,1,1,1,1,1,1,1
665 HK Equity,1,1,1,1,1,1,1,1,1,1
1336 HK Equity,1,1,1,1,1,1,1,1,1,1
3958 HK Equity,1,1,1,1,1,1,1,1,1,1
6178 HK Equity,1,1,1,1,1,1,1,1,1,1
1658 HK Equity,1,1,1,1,1,1,1,1,1,1
6099 HK Equity,1,1,1,1,1,1,1,1,1,1
6066 HK Equity,1,1,1,1,1,1,1,1,1,1
931 HK Equity,1,1,1,1,1,1,1,1,1,1
11 HK Equity,1,1,1,1,1,1,1,1,1,1
2601 HK Equity,1,1,1,1,1,1,1,1,1,1
6886 HK Equity,1,1,1,1,1,1,1,1,1,1
