Tickers,ROE>5,Increasing Revenue,Positive OCF,Increasing EPS,Quality of Earnings,Long Term Debt vs Asset,Increasing Net Income,Market Cap > Median,Increasing Asset Turnover
1728 HK Equity,0.04678970626462178,0.48427345983883546,0.8679490512087341,1.5113075123472837,0.942812581232129,2.0306732518845854,1.9885625162464258,0.06082661814400832,1.0668053028333766
1999 HK Equity,0.3895553987297107,0.6160903316866619,1.8292166549047284,0.5038814396612562,0.3514467184191955,1.0247000705716303,1.443895553987297,0.7388849682427664,2.1023288637967537
1929 HK Equity,0.24021838034576887,1.9490445859872612,1.4085532302092811,0.556869881710646,1.10828025477707,1.2365787079162875,0.17743403093721566,0.6715195632393085,1.651501364877161
2331 HK Equity,1.3020886398369842,1.3869077941925625,1.7651553744268975,1.36856851757514,1.1966377992868058,1.2195618950585838,0.18339276617422312,0.2338257768721345,0.34386143657666834
1114 HK Equity,0.7516728624535316,0.7048327137546468,1.1018587360594796,0.5063197026022305,1.271375464684015,1.4788104089219332,0.42825278810408923,1.924907063197026,0.8319702602230483
3813 HK Equity,0.24724161224949337,1.325377167304661,1.0274712902499437,1.5361405088943931,0.3039855888313443,0.15604593560009006,1.9455077685206035,0.8268408016212565,1.6313893267282145
136 HK Equity,1.372329937561617,0.5737758790667105,1.0262898455471574,0.6063095629313178,1.1091028590207033,0.08872822872165625,1.1652974038777522,0.70982582977325,2.348340453499836
1211 HK Equity,0.5833045281714483,0.30954026961631526,0.8990667127549257,1.4543726235741445,1.2817144832353957,1.3610438990667129,0.7186311787072244,1.3968199101278949,0.9955063947459385
3818 HK Equity,1.764424036733879,1.4050708724296266,0.2802954681573168,1.785985226592134,0.7043322020363346,0.8911958474745458,1.5847474545817528,0.3000598921940507,0.28388899980035937
1828 HK Equity,1.4100817438692097,1.1970367847411445,1.2169618528610355,0.6406675749318801,0.6697888283378747,1.4759877384196185,0.7586852861035422,0.09809264305177112,1.5326975476839237
494 HK Equity,0.3301609274961066,0.5824537117148295,0.8767952933033397,1.4281017477072158,1.4514621906904308,1.4452327392282402,0.5902405260425679,0.9188440906731269,1.3767087731441425
1086 HK Equity,1.3623762376237625,1.1742574257425742,1.4752475247524752,0.5207920792079208,0.5722772277227722,0.9504950495049505,1.3623762376237625,1.5782178217821783,0.0039603960396039604
860 HK Equity,1.5536109064112011,0.08787767133382461,0.8008474576271186,1.1009579955784818,1.4690493736182757,1.2402358142962417,1.2021002210759026,0.9135961680176861,0.6317243920412675
819 HK Equity,1.5428103981094345,0.299400109071078,0.7689510998000364,0.1276131612434103,0.6380658062170514,1.586984184693692,1.4822759498273042,1.1632430467187784,1.3906562443192148
78 HK Equity,0.36756436815625926,2.6448653447765613,1.0574134359277894,0.43415211601065407,0.9535365492749334,1.9283811778632731,0.4820952944658183,1.0307783367860315,0.10121337673868008
2282 HK Equity,1.3937007874015748,0.6240157480314961,0.12992125984251968,0.9763779527559056,0.33858267716535434,1.3976377952755905,1.438976377952756,1.7145669291338583,0.9862204724409449
